NO.	Time	Interval	Indoor Temperature(°C)	Indoor Humidity(%)	Outdoor Temperature(°C)	Outdoor Humidity(%)	Relative Pressure(hpa)	Absolute Pressure(hpa)	Wind Speed(km/h)	Gust(km/h)	Wind Direction	DewPoint(°C)	WindChill(°C)	Hour Rainfall(mm)	24 Hour Rainfall(mm)	Week Rainfall(mm)	Month Rainfall(mm)	Total Rainfall(mm)
1	30/07/2016 12:13:31 PM	30	21.5	41	20.9	40	1012.7	1018.3	2.5	5.0	NE	6.8	20.9	0.00	0.00	0.00	0.00	0.00
2	30/07/2016 12:43:31 PM	30	22.9	41	22.1	31	1012.2	1017.8	1.1	2.5	NW	4.2	22.1	0.00	0.00	0.00	0.00	0.00
3	30/07/2016 1:13:31 PM	30	23.8	35	23.1	29	1011.9	1017.5	1.1	2.5	NW	4.1	23.1	0.00	0.00	0.00	0.00	0.00
4	30/07/2016 1:43:31 PM	30	24.6	34	22.9	26	1011.5	1017.1	1.1	3.6	SSE	2.4	22.9	0.00	0.00	0.00	0.00	0.00
5	30/07/2016 2:13:31 PM	30	25.5	36	27.4	20	1011.3	1016.9	1.1	2.5	SE	2.5	27.4	0.00	0.00	0.00	0.00	0.00
6	30/07/2016 2:43:31 PM	30	26.2	32	29.0	18	1011.2	1016.8	0.0	0.0	W	2.3	29.0	0.00	0.00	0.00	0.00	0.00
7	30/07/2016 3:13:31 PM	30	26.3	30	24.6	25	1011.1	1016.7	0.0	0.0	W	3.3	24.6	0.00	0.00	0.00	0.00	0.00
8	30/07/2016 3:43:31 PM	30	26.5	29	23.3	27	1011.0	1016.6	0.0	1.1	SW	3.3	23.3	0.00	0.00	0.00	0.00	0.00
9	30/07/2016 4:13:31 PM	30	36.3	21	22.6	29	1010.6	1016.2	2.5	5.0	SE	3.7	22.6	0.00	0.00	0.00	0.00	0.00
10	30/07/2016 4:43:31 PM	30	34.6	11	23.2	28	1011.2	1016.8	1.1	2.5	E	3.7	23.2	0.00	0.00	0.00	0.00	0.00
11	30/07/2016 5:13:31 PM	30	30.0	20	20.5	31	1011.7	1017.3	2.5	5.0	NE	2.8	20.5	0.00	0.00	0.00	0.00	0.00
12	30/07/2016 5:43:31 PM	30	25.8	23	18.9	43	1012.0	1017.6	0.0	1.1	E	6.1	18.9	0.00	0.00	0.00	0.00	0.00
13	30/07/2016 6:13:31 PM	30	22.9	28	16.8	52	1012.5	1018.1	0.0	0.0	E	6.9	16.8	0.00	0.00	0.00	0.00	0.00
14	30/07/2016 6:43:31 PM	30	20.9	32	16.3	56	1012.8	1018.4	0.0	0.0	E	7.5	16.3	0.00	0.00	0.00	0.00	0.00
15	30/07/2016 7:13:31 PM	30	19.4	36	15.1	62	1013.0	1018.6	0.0	0.0	E	7.9	15.1	0.00	0.00	0.00	0.00	0.00
16	30/07/2016 7:43:31 PM	30	18.1	41	14.2	66	1013.3	1018.9	0.0	0.0	E	8.0	14.2	0.00	0.00	0.00	0.00	0.00
17	30/07/2016 8:13:31 PM	30	16.8	43	13.5	70	1013.5	1019.1	0.0	0.0	E	8.2	13.5	0.00	0.00	0.00	0.00	0.00
18	30/07/2016 8:43:31 PM	30	16.0	46	13.1	73	1013.5	1019.1	0.0	0.0	E	8.4	13.1	0.00	0.00	0.00	0.00	0.00
19	30/07/2016 9:13:31 PM	30	15.5	50	12.6	73	1013.8	1019.4	0.0	0.0	E	7.9	12.6	0.00	0.00	0.00	0.00	0.00
20	30/07/2016 9:43:31 PM	30	15.0	50	12.3	73	1013.9	1019.5	0.0	0.0	E	7.6	12.3	0.00	0.00	0.00	0.00	0.00
21	30/07/2016 10:13:31 PM	30	14.3	52	12.0	74	1014.1	1019.7	0.0	0.0	E	7.5	12.0	0.00	0.00	0.00	0.00	0.00
22	30/07/2016 10:43:31 PM	30	13.8	54	11.6	77	1014.1	1019.7	0.0	0.0	E	7.7	11.6	0.00	0.00	0.00	0.00	0.00
23	30/07/2016 11:13:31 PM	30	13.4	54	11.2	79	1013.9	1019.5	0.0	0.0	E	7.7	11.2	0.00	0.00	0.00	0.00	0.00
24	30/07/2016 11:43:31 PM	30	12.8	55	10.8	83	1013.8	1019.4	0.0	0.0	E	8.0	10.8	0.00	0.00	0.00	0.00	0.00
25	31/07/2016 12:13:31 AM	30	12.5	57	10.7	83	1013.4	1019.0	0.0	0.0	E	7.9	10.7	0.00	0.00	0.00	0.00	0.00
26	31/07/2016 12:43:31 AM	30	12.2	58	10.5	84	1013.1	1018.7	0.0	0.0	E	7.9	10.5	0.00	0.00	0.00	0.00	0.00
27	31/07/2016 1:13:31 AM	30	11.9	60	10.3	84	1013.0	1018.6	0.0	0.0	E	7.7	10.3	0.00	0.00	0.00	0.00	0.00
28	31/07/2016 1:43:31 AM	30	11.7	60	11.0	81	1012.6	1018.2	0.0	0.0	SE	7.9	11.0	0.00	0.00	0.00	0.00	0.00
29	31/07/2016 2:13:31 AM	30	11.6	61	11.0	79	1012.3	1017.9	0.0	0.0	SE	7.5	11.0	0.00	0.00	0.00	0.00	0.00
30	31/07/2016 2:43:31 AM	30	11.5	61	10.6	80	1011.9	1017.5	0.0	0.0	SE	7.3	10.6	0.00	0.00	0.00	0.00	0.00
31	31/07/2016 3:13:31 AM	30	11.3	61	10.3	81	1011.7	1017.3	0.0	1.1	SE	7.2	10.3	0.00	0.00	0.00	0.00	0.00
32	31/07/2016 3:43:31 AM	30	11.1	62	10.6	80	1011.7	1017.3	0.0	0.0	S	7.3	10.6	0.00	0.00	0.00	0.00	0.00
33	31/07/2016 4:13:31 AM	30	10.9	63	10.2	80	1011.6	1017.2	0.0	0.0	S	6.9	10.2	0.00	0.00	0.00	0.00	0.00
34	31/07/2016 4:43:31 AM	30	10.6	64	10.2	79	1011.7	1017.3	0.0	1.1	S	6.7	10.2	0.00	0.00	0.00	0.00	0.00
35	31/07/2016 5:13:31 AM	30	10.4	64	10.1	79	1011.8	1017.4	0.0	0.0	SW	6.6	10.1	0.00	0.00	0.00	0.00	0.00
36	31/07/2016 5:43:31 AM	30	10.2	64	10.0	78	1011.9	1017.5	0.0	2.5	SWW	6.4	10.0	0.00	0.00	0.00	0.00	0.00
37	31/07/2016 6:13:31 AM	30	10.1	64	9.6	79	1012.0	1017.6	0.0	0.0	S	6.1	9.6	0.00	0.00	0.00	0.00	0.00
38	31/07/2016 6:43:31 AM	30	9.9	66	9.5	80	1012.3	1017.9	0.0	1.1	S	6.2	9.5	0.00	0.00	0.00	0.00	0.00
39	31/07/2016 7:13:31 AM	30	9.8	67	10.0	78	1012.6	1018.2	0.0	1.1	SW	6.4	10.0	0.00	0.00	0.00	0.00	0.00
40	31/07/2016 7:43:31 AM	30	10.0	67	10.8	75	1013.0	1018.6	0.0	0.0	SSW	6.6	10.8	0.00	0.00	0.00	0.00	0.00
41	31/07/2016 8:13:31 AM	30	10.5	69	12.5	68	1013.3	1018.9	1.1	2.5	S	6.8	12.5	0.00	0.00	0.00	0.00	0.00
42	31/07/2016 8:43:31 AM	30	11.5	69	14.2	61	1013.8	1019.4	1.1	2.5	S	6.8	14.2	0.00	0.00	0.00	0.00	0.00
43	31/07/2016 9:13:31 AM	30	12.9	68	16.6	52	1013.9	1019.5	0.0	1.1	S	6.7	16.6	0.00	0.00	0.00	0.00	0.00
44	31/07/2016 9:43:31 AM	30	14.8	65	18.0	52	1013.9	1019.5	5.0	6.1	W	8.0	18.0	0.00	0.00	0.00	0.00	0.00
45	31/07/2016 10:13:31 AM	30	16.4	62	18.4	51	1013.7	1019.3	1.1	2.5	S	8.1	18.4	0.00	0.00	0.00	0.00	0.00
46	31/07/2016 10:43:31 AM	30	18.3	60	19.4	50	1013.5	1019.1	1.1	2.5	SE	8.7	19.4	0.00	0.00	0.00	0.00	0.00
47	31/07/2016 11:13:31 AM	30	20.1	52	20.4	46	1013.1	1018.7	1.1	3.6	NW	8.4	20.4	0.00	0.00	0.00	0.00	0.00
48	31/07/2016 11:43:31 AM	30	21.3	50	21.2	44	1012.4	1018.0	0.0	2.5	W	8.5	21.2	0.00	0.00	0.00	0.00	0.00
49	31/07/2016 12:13:31 PM	30	22.8	48	22.2	39	1011.9	1017.5	1.1	2.5	SE	7.6	22.2	0.00	0.00	0.00	0.00	0.00
50	31/07/2016 12:43:31 PM	30	23.8	42	23.4	36	1011.1	1016.7	1.1	3.6	W	7.5	23.4	0.00	0.00	0.00	0.00	0.00
51	31/07/2016 1:13:31 PM	30	25.0	41	25.1	31	1010.3	1015.9	0.0	1.1	NW	6.8	25.1	0.00	0.00	0.00	0.00	0.00
52	31/07/2016 1:43:31 PM	30	25.8	40	24.4	37	1010.0	1015.6	1.1	5.0	SE	8.8	24.4	0.00	0.00	0.00	0.00	0.00
53	31/07/2016 2:13:31 PM	30	26.5	39	26.2	32	1009.6	1015.2	2.5	5.0	E	8.2	26.2	0.00	0.00	0.00	0.00	0.00
54	31/07/2016 2:43:31 PM	30	26.9	39	27.9	30	1009.5	1015.1	1.1	3.6	SEE	8.8	27.9	0.00	0.00	0.00	0.00	0.00
55	31/07/2016 3:13:31 PM	30	26.9	36	25.2	35	1009.5	1015.1	2.5	5.0	W	8.7	25.2	0.00	0.00	0.00	0.00	0.00
56	31/07/2016 3:43:31 PM	30	26.9	34	23.6	40	1009.6	1015.2	2.5	5.0	E	9.2	23.6	0.00	0.00	0.00	0.00	0.00
57	31/07/2016 4:13:31 PM	30	38.1	22	23.2	39	1009.1	1014.7	2.5	3.6	NE	8.5	23.2	0.00	0.00	0.00	0.00	0.00
58	31/07/2016 4:43:31 PM	30	35.6	11	23.6	39	1009.6	1015.2	0.0	2.5	NE	8.9	23.6	0.00	0.00	0.00	0.00	0.00
59	31/07/2016 5:13:31 PM	30	30.6	23	20.8	49	1010.0	1015.6	0.0	1.1	NEE	9.7	20.8	0.00	0.00	0.00	0.00	0.00
60	31/07/2016 5:43:31 PM	30	26.0	31	19.0	57	1010.5	1016.1	0.0	0.0	SE	10.3	19.0	0.00	0.00	0.00	0.00	0.00
61	31/07/2016 6:13:31 PM	30	23.3	37	18.0	62	1010.6	1016.2	0.0	0.0	NE	10.6	18.0	0.00	0.00	0.00	0.00	0.00
62	31/07/2016 6:43:31 PM	30	21.5	43	17.3	69	1011.0	1016.6	0.0	0.0	NE	11.6	17.3	0.00	0.00	0.00	0.00	0.00
63	31/07/2016 7:13:31 PM	30	20.3	49	16.3	72	1011.1	1016.7	0.0	0.0	NE	11.3	16.3	0.00	0.00	0.00	0.00	0.00
64	31/07/2016 7:43:31 PM	30	19.2	51	15.7	75	1011.4	1017.0	0.0	0.0	NE	11.3	15.7	0.00	0.00	0.00	0.00	0.00
65	31/07/2016 8:13:31 PM	30	18.2	53	15.3	77	1011.6	1017.2	0.0	0.0	NE	11.3	15.3	0.00	0.00	0.00	0.00	0.00
66	31/07/2016 8:43:31 PM	30	17.4	54	14.8	80	1011.8	1017.4	0.0	0.0	NE	11.4	14.8	0.00	0.00	0.00	0.00	0.00
67	31/07/2016 9:13:31 PM	30	16.6	56	14.2	81	1011.8	1017.4	0.0	0.0	NE	11.0	14.2	0.00	0.00	0.00	0.00	0.00
68	31/07/2016 9:43:31 PM	30	16.0	58	13.9	83	1011.8	1017.4	0.0	0.0	NE	11.1	13.9	0.00	0.00	0.00	0.00	0.00
69	31/07/2016 10:13:31 PM	30	15.7	60	13.4	85	1011.7	1017.3	0.0	0.0	NE	10.9	13.4	0.00	0.00	0.00	0.00	0.00
70	31/07/2016 10:43:31 PM	30	15.3	61	13.5	86	1011.7	1017.3	0.0	0.0	NE	11.2	13.5	0.00	0.00	0.00	0.00	0.00
71	31/07/2016 11:13:31 PM	30	14.9	63	13.1	87	1011.6	1017.2	0.0	0.0	NE	11.0	13.1	0.00	0.00	0.00	0.00	0.00
72	31/07/2016 11:43:31 PM	30	14.6	63	12.9	87	1011.3	1016.9	0.0	0.0	NE	10.8	12.9	0.00	0.00	0.00	0.00	0.00
73	1/08/2016 12:13:31 AM	30	14.2	63	12.4	88	1011.2	1016.8	0.0	0.0	NE	10.5	12.4	0.00	0.00	0.00	0.00	0.00
74	1/08/2016 12:43:31 AM	30	13.7	65	11.9	89	1011.0	1016.6	0.0	0.0	NE	10.2	11.9	0.00	0.00	0.00	0.00	0.00
75	1/08/2016 1:13:31 AM	30	13.4	66	11.7	89	1011.1	1016.7	0.0	0.0	NE	10.0	11.7	0.00	0.00	0.00	0.00	0.00
76	1/08/2016 1:43:31 AM	30	13.1	66	11.5	91	1010.7	1016.3	0.0	0.0	NE	10.1	11.5	0.00	0.00	0.00	0.00	0.00
77	1/08/2016 2:13:31 AM	30	12.9	68	11.7	91	1010.2	1015.8	0.0	0.0	NE	10.3	11.7	0.00	0.00	0.00	0.00	0.00
78	1/08/2016 2:43:31 AM	30	12.8	68	11.6	89	1010.0	1015.6	0.0	0.0	NE	9.9	11.6	0.00	0.00	0.00	0.00	0.00
79	1/08/2016 3:13:31 AM	30	12.4	68	11.0	88	1009.8	1015.4	0.0	0.0	SE	9.1	11.0	0.00	0.00	0.00	0.00	0.00
80	1/08/2016 3:43:31 AM	30	11.9	69	10.6	90	1009.4	1015.0	0.0	0.0	SE	9.0	10.6	0.00	0.00	0.00	0.00	0.00
81	1/08/2016 4:13:31 AM	30	11.7	69	10.3	89	1009.6	1015.2	0.0	0.0	SE	8.6	10.3	0.00	0.00	0.00	0.00	0.00
82	1/08/2016 4:43:31 AM	30	11.4	69	10.6	83	1009.7	1015.3	0.0	0.0	SE	7.8	10.6	0.00	0.00	0.00	0.00	0.00
83	1/08/2016 5:13:31 AM	30	11.1	69	10.6	81	1010.0	1015.6	0.0	0.0	S	7.5	10.6	0.00	0.00	0.00	0.00	0.00
84	1/08/2016 5:43:31 AM	30	10.8	70	10.9	81	1010.1	1015.7	0.0	1.1	SW	7.8	10.9	0.00	0.00	0.00	0.00	0.00
85	1/08/2016 6:13:31 AM	30	10.8	71	10.9	80	1010.2	1015.8	1.1	2.5	S	7.6	10.9	0.00	0.00	0.00	0.00	0.00
86	1/08/2016 6:43:31 AM	30	10.6	70	10.3	82	1010.4	1016.0	0.0	1.1	SSW	7.4	10.3	0.00	0.00	0.00	0.00	0.00
87	1/08/2016 7:13:31 AM	30	10.4	70	10.2	83	1010.7	1016.3	0.0	0.0	SSW	7.5	10.2	0.00	0.00	0.00	0.00	0.00
88	1/08/2016 7:43:31 AM	30	10.5	71	10.9	81	1010.9	1016.5	0.0	1.1	SSW	7.8	10.9	0.00	0.00	0.00	0.00	0.00
89	1/08/2016 8:13:31 AM	30	11.0	71	12.6	74	1011.2	1016.8	0.0	1.1	W	8.1	12.6	0.00	0.00	0.00	0.00	0.00
90	1/08/2016 8:43:31 AM	30	11.8	71	13.9	67	1011.3	1016.9	1.1	2.5	SE	7.9	13.9	0.00	0.00	0.00	0.00	0.00
91	1/08/2016 9:13:31 AM	30	13.0	70	16.6	58	1011.7	1017.3	0.0	2.5	W	8.3	16.6	0.00	0.00	0.00	0.00	0.00
92	1/08/2016 9:43:31 AM	30	14.7	68	17.2	53	1011.9	1017.5	0.0	1.1	W	7.6	17.2	0.00	0.00	0.00	0.00	0.00
93	1/08/2016 10:13:31 AM	30	15.8	64	17.9	53	1011.9	1017.5	0.0	1.1	S	8.2	17.9	0.00	0.00	0.00	0.00	0.00
94	1/08/2016 10:43:31 AM	30	17.8	60	18.5	53	1011.9	1017.5	0.0	1.1	W	8.8	18.5	0.00	0.00	0.00	0.00	0.00
95	1/08/2016 11:13:31 AM	30	19.5	56	20.1	46	1011.6	1017.2	2.5	5.0	S	8.1	20.1	0.00	0.00	0.00	0.00	0.00
96	1/08/2016 11:43:31 AM	30	21.1	50	21.0	41	1011.0	1016.6	0.0	1.1	SW	7.3	21.0	0.00	0.00	0.00	0.00	0.00
97	1/08/2016 12:13:31 PM	30	22.5	50	22.2	38	1010.4	1016.0	1.1	2.5	NE	7.2	22.2	0.00	0.00	0.00	0.00	0.00
98	1/08/2016 12:43:31 PM	30	23.7	43	23.3	33	1009.7	1015.3	0.0	2.5	SW	6.2	23.3	0.00	0.00	0.00	0.00	0.00
99	1/08/2016 1:13:31 PM	30	25.0	38	24.9	28	1009.1	1014.7	1.1	3.6	S	5.2	24.9	0.00	0.00	0.00	0.00	0.00
100	1/08/2016 1:43:31 PM	30	26.0	39	25.1	26	1008.7	1014.3	0.0	1.1	E	4.3	25.1	0.00	0.00	0.00	0.00	0.00
101	1/08/2016 2:13:31 PM	30	26.9	34	29.2	23	1008.4	1014.0	1.1	2.5	SSW	6.0	29.2	0.00	0.00	0.00	0.00	0.00
102	1/08/2016 2:43:31 PM	30	26.9	33	30.7	20	1007.8	1013.4	2.5	6.1	SW	5.2	30.7	0.00	0.00	0.00	0.00	0.00
103	1/08/2016 3:13:31 PM	30	27.8	31	26.5	25	1007.7	1013.3	2.5	7.2	E	4.9	26.5	0.00	0.00	0.00	0.00	0.00
104	1/08/2016 3:43:31 PM	30	27.8	29	24.7	30	1007.7	1013.3	0.0	1.1	SE	6.0	24.7	0.00	0.00	0.00	0.00	0.00
105	1/08/2016 4:13:31 PM	30	38.3	20	24.1	32	1007.0	1012.6	2.5	5.0	E	6.4	24.1	0.00	0.00	0.00	0.00	0.00
106	1/08/2016 4:43:31 PM	30	36.6	10	24.5	28	1007.6	1013.2	3.6	5.0	E	4.8	24.5	0.00	0.00	0.00	0.00	0.00
107	1/08/2016 5:13:31 PM	30	31.5	19	21.6	36	1008.0	1013.6	0.0	1.1	E	5.9	21.6	0.00	0.00	0.00	0.00	0.00
108	1/08/2016 5:43:31 PM	30	26.8	29	20.1	56	1008.4	1014.0	0.0	1.1	NE	11.1	20.1	0.00	0.00	0.00	0.00	0.00
109	1/08/2016 6:13:31 PM	30	24.0	35	18.6	64	1008.7	1014.3	0.0	0.0	SE	11.7	18.6	0.00	0.00	0.00	0.00	0.00
110	1/08/2016 6:43:31 PM	30	22.2	41	17.7	69	1008.9	1014.5	0.0	0.0	SE	12.0	17.7	0.00	0.00	0.00	0.00	0.00
111	1/08/2016 7:13:31 PM	30	20.8	47	16.7	72	1009.0	1014.6	0.0	0.0	SE	11.6	16.7	0.00	0.00	0.00	0.00	0.00
112	1/08/2016 7:43:31 PM	30	20.0	50	16.4	74	1008.9	1014.5	0.0	0.0	SE	11.8	16.4	0.00	0.00	0.00	0.00	0.00
113	1/08/2016 8:13:31 PM	30	19.0	52	15.8	78	1008.7	1014.3	0.0	0.0	SE	12.0	15.8	0.00	0.00	0.00	0.00	0.00
114	1/08/2016 8:43:31 PM	30	18.0	54	15.1	81	1009.0	1014.6	0.0	0.0	SE	11.9	15.1	0.00	0.00	0.00	0.00	0.00
115	1/08/2016 9:13:31 PM	30	17.4	57	14.8	84	1009.0	1014.6	0.0	0.0	SE	12.1	14.8	0.00	0.00	0.00	0.00	0.00
116	1/08/2016 9:43:31 PM	30	16.8	59	14.9	82	1008.8	1014.4	0.0	0.0	SE	11.9	14.9	0.00	0.00	0.00	0.00	0.00
117	1/08/2016 10:13:31 PM	30	16.5	59	14.6	85	1008.8	1014.4	0.0	0.0	SE	12.1	14.6	0.00	0.00	0.00	0.00	0.00
118	1/08/2016 10:43:31 PM	30	16.0	61	14.1	87	1008.7	1014.3	0.0	0.0	SE	12.0	14.1	0.00	0.00	0.00	0.00	0.00
